Gender,Age,YearsCodePro,Country,Salary,EdLevel
Woman,30.0,6.0,Canada,71494.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,1.0,Canada,48950.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,35.0,4.0,Iran,25656.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,31.0,10.0,United States,98000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,7.0,Brazil,12372.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,33.0,10.0,Finland,45396.0,Some college/university study without earning a degree
Man,25.0,2.0,Canada,52942.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,33.0,5.0,United States,98000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,30.0,5.0,United States,90000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,46.0,1.0,United States,50000.0,PhD or other doctoral degree
Man,36.0,7.0,Canada,98321.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,26.0,2.0,Portugal,12324.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,23.0,1.0,United States,60000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,32.0,9.0,Mexico,48478.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,33.0,15.0,Brazil,32070.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,4.0,Other,8544.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,2.0,Turkey,575.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,40.0,18.0,Brazil,32070.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,26.0,4.0,Canada,68824.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,48.0,25.0,United States,95000.0,Some college/university study without earning a degree
Man,27.0,6.0,United States,88000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,29.0,10.0,Germany,42804.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,2.0,Other,10812.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,28.0,2.0,Norway,75527.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,41.0,14.0,Italy,37834.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,32.0,6.0,Pakistan,17124.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
